Kraj,Kontynent,Strefa Klimatyczna,Nazwa zdjęcia
Nowa Zelandia,Australia i Oceania,umiarkowana,AuUmZN5.png
Nowa Zelandia,Australia i Oceania,umiarkowana,AuUmZN6.png
Nowa Zelandia,Australia i Oceania,umiarkowana,AuUmZN7.png
USA,Ameryka Północna,,
USA,Ameryka Północna,,
USA,Ameryka Północna,,
USA,Ameryka Północna,,
USA,Ameryka Północna,,
USA,Ameryka Północna,,
USA,Ameryka Północna,,
USA,Ameryka Północna,,
USA,Ameryka Północna,,
USA,Ameryka Północna,,
USA,Ameryka Północna,,
USA,Ameryka Północna,,
USA,Ameryka Północna,,
USA,Ameryka Północna,,
USA,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Kanada,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Meksyk,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Kuba,Ameryka Północna,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Brazylia,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Argentyna,Ameryka Południowa,,
Kolumbia,Ameryka Południowa,równikowa,PRKo1
Kolumbia,Ameryka Południowa,równikowa,PRKo2
Kolumbia,Ameryka Południowa,równikowa,PRKo3
Kolumbia,Ameryka Południowa,równikowa,PRKo4
Kolumbia,Ameryka Południowa,równikowa,PRKo5
Kolumbia,Ameryka Południowa,równikowa,PRKo6
Kolumbia,Ameryka Południowa,równikowa,PRKo7
Kolumbia,Ameryka Południowa,równikowa,PRKo8
Kolumbia,Ameryka Południowa,równikowa,PRKo9
Kolumbia,Ameryka Południowa,równikowa,PRKo10
Kolumbia,Ameryka Południowa,równikowa,PRKo11
Kolumbia,Ameryka Południowa,równikowa,PRKo12
Kolumbia,Ameryka Południowa,równikowa,PRKo13
Kolumbia,Ameryka Południowa,równikowa,PRKo14
Kolumbia,Ameryka Południowa,równikowa,PRKo15
Chile,Ameryka Południowa,umiarkowana,PUCh1
Chile,Ameryka Południowa,umiarkowana,PUCh2
Chile,Ameryka Południowa,umiarkowana,PUCh3
Chile,Ameryka Południowa,umiarkowana,PUCh4
Chile,Ameryka Południowa,umiarkowana,PUCh5
Chile,Ameryka Południowa,zwrotnikowa,PZCh1
Chile,Ameryka Południowa,zwrotnikowa,PZCh2
Chile,Ameryka Południowa,zwrotnikowa,PZCh3
Chile,Ameryka Południowa,zwrotnikowa,PZCh4
Chile,Ameryka Południowa,zwrotnikowa,PZCh5
Chile,Ameryka Południowa,podzwrotnikowa,PPCh1
Chile,Ameryka Południowa,podzwrotnikowa,PPCh2
Chile,Ameryka Południowa,podzwrotnikowa,PPCh3
Chile,Ameryka Południowa,podzwrotnikowa,PPCh4
Chile,Ameryka Południowa,podzwrotnikowa,PPCh5
Rosja,Azja,okołobiegunowa,AORu1
Rosja,Azja,okołobiegunowa,AORu2
Rosja,Azja,okołobiegunowa,AORu3
Rosja,Azja,okołobiegunowa,AORu4
Rosja,Azja,okołobiegunowa,AORu5
Rosja,Azja,umiarkowana,AURu1
Rosja,Azja,umiarkowana,AURu2
Rosja,Azja,umiarkowana,AURu3
Rosja,Azja,umiarkowana,AURu4
Rosja,Azja,umiarkowana,AURu5
Rosja,Azja,umiarkowana,AURu6
Rosja,Azja,umiarkowana,AURu7
Rosja,Azja,umiarkowana,AURu8
Rosja,Azja,umiarkowana,AURu9
Rosja,Azja,umiarkowana,AURu10
Japonia,Azja,umiarkowana,AUJa1
Japonia,Azja,umiarkowana,AUJa2
Japonia,Azja,umiarkowana,AUJa3
Japonia,Azja,umiarkowana,AUJa4
Japonia,Azja,umiarkowana,AUJa5
Japonia,Azja,umiarkowana,AUJa6
Japonia,Azja,umiarkowana,AUJa7
Japonia,Azja,umiarkowana,AUJa8
Japonia,Azja,umiarkowana,AUJa9
Japonia,Azja,umiarkowana,AUJa10
Japonia,Azja,umiarkowana,AUJa11
Japonia,Azja,umiarkowana,AUJa12
Japonia,Azja,umiarkowana,AUJa13
Japonia,Azja,podzwrotnikowa,APJa1
Japonia,Azja,podzwrotnikowa,APJa2
Indie,Azja,zwrotnikowa,AZIe1
Indie,Azja,zwrotnikowa,AZIe2
Indie,Azja,zwrotnikowa,AZIe3
Indie,Azja,zwrotnikowa,AZIe4
Indie,Azja,zwrotnikowa,AZIe5
Indie,Azja,zwrotnikowa,AZIe6
Indie,Azja,zwrotnikowa,AZIe7
Indie,Azja,zwrotnikowa,AZIe8
Indie,Azja,zwrotnikowa,AZIe9
Indie,Azja,zwrotnikowa,AZIe10
Indie,Azja,zwrotnikowa,AZIe11
Indie,Azja,zwrotnikowa,AZIe12
Indie,Azja,zwrotnikowa,AZIe13
Indie,Azja,zwrotnikowa,AZIe14
Indie,Azja,zwrotnikowa,AZIe15
Indonezja,Azja,równikowa,ARIa1
Indonezja,Azja,równikowa,ARIa2
Indonezja,Azja,równikowa,ARIa3
Indonezja,Azja,równikowa,ARIa4
Indonezja,Azja,równikowa,ARIa5
Indonezja,Azja,równikowa,ARIa6
Indonezja,Azja,równikowa,ARIa7
Indonezja,Azja,równikowa,ARIa8
Indonezja,Azja,równikowa,ARIa9
Indonezja,Azja,równikowa,ARIa10
Indonezja,Azja,równikowa,ARIa11
Indonezja,Azja,równikowa,ARIa12
Indonezja,Azja,równikowa,ARIa13
Indonezja,Azja,równikowa,ARIa14
Indonezja,Azja,równikowa,ARIa15
